Strain,Species,Source,Group
RH127O_1,B.fragilis,CF,RH127O
RH127O_2,B.fragilis,CF,RH127O
RH127O_3,B.fragilis,CF,RH127O
RH127O_4,B.fragilis,CF,RH127O
RH127O_5,B.fragilis,CF,RH127O
PLT_32B_1,B.vulgatus,NonCF,PLT_32B
PLT_32B_2,B.vulgatus,NonCF,PLT_32B
PLT_32B_3,B.vulgatus,NonCF,PLT_32B
PLT_32B_4,B.vulgatus,NonCF,PLT_32B
PLT_32B_5,B.vulgatus,NonCF,PLT_32B
VPI_1,B.thetaiotaomicron,Lab,VPI
VPI_2,B.thetaiotaomicron,Lab,VPI
VPI_3,B.thetaiotaomicron,Lab,VPI
VPI_4,B.thetaiotaomicron,Lab,VPI
SMC7758_1,B.thetaiotaomicron,Lab,SMC7758
SMC7758_2,B.thetaiotaomicron,Lab,SMC7758
SMC7758_3,B.thetaiotaomicron,Lab,SMC7758
SMC7758_4,B.thetaiotaomicron,Lab,SMC7758
SMC7758_5,B.thetaiotaomicron,Lab,SMC7758
MEM_1,None,Control,MEM
MEM_2,None,Control,MEM
MEM_3,None,Control,MEM
MEM_4,None,Control,MEM
MEM_5,None,Control,MEM
